,Standards,Bmo,Scotiabank,Td,Cibc,Rbc
0,Canadian Transition Taxonomy,0.59,0.568,0.62,0.563,0.61
1,Climate Bonds Standards,0.505,0.529,0.471,0.492,0.423
2,CSRD,0.451,0.427,0.466,0.437,0.461
3,EU Taxonomy,0.366,0.338,0.401,0.375,0.348
4,SFDR,0.377,0.367,0.396,0.363,0.376
5,TNFD,0.557,0.58,0.575,0.521,0.51
6,UNEP PRI,0.549,0.564,0.577,0.574,0.574
7,UNEP-FI,0.567,0.628,0.622,0.601,0.576
8,CDP,0.549,0.562,0.535,0.497,0.461
9,Equator Principles,0.457,0.46,0.43,0.488,0.462
10,Gri Standards,0.564,0.568,0.565,0.575,0.553
11,Integrated Reporting,0.436,0.4,0.406,0.425,0.439
12,Osfi,0.492,0.532,0.388,0.48,0.441
13,Tcfd,0.548,0.604,0.506,0.468,0.438
14,Sasb,0.541,0.643,0.658,0.619,0.511
15,Ifrs,0.6,0.644,0.613,0.578,0.541
16,Pcaf,0.504,0.563,0.529,0.461,0.44
